Source,Target
7955,1308
7960,6784
7996,5121
7996,96753
8016,6946
8038,2901
8040,13487
8043,37
8079,37066
8079,2710
8086,7675
8095,2261
8102,2724
8136,48299
8148,9
8159,258182
8179,89096
8183,3085
8194,8238
8200,6936
8200,6078
8205,14750
8226,17249
8277,361991
8285,43365
8321,5121
8329,6996
8377,5845
8384,1647
8394,49435
8400,10905
8402,17249
8441,143989
8444,38970
8470,7480
8498,4109
8539,3781
8546,146425
8546,974
8546,8344
8547,3678
8560,5976
8606,6586
8610,130158
8620,100411
8624,5571
8669,10228
8669,36274
8700,3934
8701,25409
8746,9606
8746,5121
8772,7578
8774,2596
8794,5998
8803,14745
8805,8606
8822,72023
8834,129339
8834,111669
8834,31240
8839,8467
8870,10005
8888,2596
8888,7576
8890,8546
8890,8344
8890,974
8891,8845
8896,6529
8905,8919
8911,69810
8918,9065
8926,5911
8980,4428
9000,43020
9017,16178
9017,6676
9024,27213
9025,37753
9025,39922
9031,6033
9040,5794
9047,9248
9092,5929
9107,169033
9123,4124
9135,2038
9135,56313
9135,70866
9161,5980
9168,9336
9168,20507
9206,22667
9221,14008
9274,17202
9285,100
9285,6993
9306,1090
9318,5669
9324,15433
9336,9168
9349,4103
9372,41478
9372,988
9372,22743
9372,153894
9383,6586
9398,5571
9417,339853
9458,22118
9460,24235
9460,101624
9460,4983
9475,63574
9481,9467
9512,5121
9540,87665
9545,11
9579,11573
9591,113188
9599,46588
9630,7444
9639,7697
9641,2280
9669,3617
9682,4989
9741,14008
9770,418468
9774,13389
9780,2053
9780,9848
9806,9382
9809,3503
9817,1771
9817,400
9853,9848
9865,29553
9865,80589
9865,41241
9867,260244
9882,2724
9883,9861
9886,10228
9905,65281
9922,4950
9933,108067
9954,296197
9966,248
9968,9432
9972,9890
9978,131
9994,9189
9994,5484
10009,1844
10054,66183
10059,9817
10075,9861
10075,9432
10079,9930
10110,9890
10110,9854
10121,22946
10140,10121
10161,867
10198,9886
10220,3841
10221,10273
10223,69720
10232,814
10237,9545
10291,9816
10331,4983
10360,9890
10373,280944
10384,7805
10384,4194
10384,2830
10384,25208
10395,13758
10406,136850
10417,10415
10435,11748
10438,3
10445,1237
10481,132977
10481,105889
10481,6784
10500,10503
10531,4419
10532,4752
10537,2280
10547,9848
10548,10075
10548,9861
10548,10121
10568,5121
10573,692
10578,8572
10583,17249
10597,30334
10609,10519
10640,8971
10644,868
10664,141606
10693,10481
10712,35478
10712,41332
10728,9941
10759,408588
10759,408584
10765,9861
10765,10075
10765,9968
10770,1352
10786,10148
10825,474
10857,9890
10869,9967
10869,10765
10901,134
10905,8400
10908,228
10948,9941
10948,39014
10958,131
10998,4246
10998,3778
10998,48299
11041,2719
11050,11031
11067,7576
11075,68837
11098,14168
11101,11075
11109,10165
11133,35024
11149,4989
11184,6016
11184,2855
11184,130649
11189,90920
11192,4314
11207,9
11211,4329
11240,11226
11261,9941
11274,135089
11313,6522
11317,40594
11317,4340
11322,10090
11332,39320
11349,30742
11369,10373
11370,6229
11384,9306
11392,11370
11399,9941
11406,21305
11411,247
11415,310337
11443,11015
11443,11336
11447,308688
11454,48321
11473,11509
11490,5951
11492,5440
11519,2502
11537,13679
11550,11709
11570,563300
11573,36682
11575,8136
11588,1763
11588,16001
11635,91815
11647,24324
11678,7850
11690,7377
11719,422650
11719,237434
11738,113246
11740,5241
11760,284306
11771,206407
11771,333795
11798,11205
11815,34167
11819,4217
11821,8740
11821,6033
11840,23128
11840,92863
11885,10294
11889,50101
11897,17249
11925,4983
11934,51136
11952,5571
11956,2471
11993,55868
12020,31206
12021,161273
12100,4750
12113,10186
12129,289559
12162,3707
12182,8021
12215,8363
12218,2053
12223,6832
12249,2596
12265,14008
12265,9014
12282,5121
12347,2792
12347,34572
12355,55868
12355,27537
12358,8539
12360,91815
12373,131
12388,11399
12397,12558
12401,1529
12409,2243
12409,5980
12409,3167
12418,5435
12426,263332
12426,88347
12433,5571
12449,1529
12462,35478
12493,5675
12502,14236
12516,18641
12516,12909
12523,4983
12535,5121
12558,12397
12558,17077
12578,22743
12600,117015
12602,8974
12611,56022
12621,38661
12630,11908
12647,518296
12651,5873
12659,5121
12690,87598
12734,9108
12815,87378
12815,254844
12815,199176
12816,12758
12821,131
12853,3179
12872,906
12879,11349
12894,7071
12897,382298
12909,18641
12917,460022
12917,13072
12969,5121
12978,96967
12980,12900
12982,9932
13013,4950
13021,10031
13026,13157
13036,196180
13053,13063
13061,13063
13065,615
13070,65911
13073,9861
13106,122505
13211,73435
13232,7113
13250,23067
13266,1237
13278,2596
13290,333795
13296,128524
13312,42063
13328,5938
13390,8744
13417,5121
13447,97683
13456,13351
13464,35815
13492,13456
13492,13351
13521,32139
13541,7654
13551,6424
13552,5121
13555,12699
13590,4075
13619,13562
13645,91403
13648,1057
13751,20903
13752,10121
13755,13562
13776,59632
13776,7391
13790,5121
13835,3116
13850,13562
13863,120621
13869,105051
13869,9135
13873,9135
13928,13562
13939,9905
13940,13928
13963,4699
13986,9757
13994,11798
14008,440087
14008,14071
14021,13892
14038,190425
14059,12493
14077,63599
14077,71863
14098,13837
14155,14866
14155,14284
14162,9135
14165,303091
14165,63022
14168,14017
14172,7834
14202,5095
14210,5121
14219,1345
14273,9890
14276,4360
14286,37308
14289,5121
14302,4584
14303,38162
14320,17937
14320,22743
14328,17823
14354,14354
14355,16695
14378,2448
14394,4068
14394,272215
14417,9886
14457,114895
14458,723
14473,14008
14478,974
14519,14008
14519,59296
14544,5121
14551,34
14562,5121
14591,10622
14596,14191
14615,33890
14632,1763
14673,4983
14697,4428
14697,8980
14733,14008
14736,4109
14745,8803
14753,14706
14794,75454
14795,99098
14815,14437
14815,10481
14829,10601
14838,364270
14838,370398
14866,14284
14881,14896
14896,17937
14896,16988
14910,7976
14923,18903
14923,148877
14928,14740
14954,4983
14956,9135
14961,11976
14997,9820
15012,430786
15025,14168
15031,71733
15043,14351
15072,15186
15125,13071
15138,14008
15169,9047
15169,9248
15177,15138
15203,13758
15209,8241
15211,15584
15211,974
15227,5121
15245,55868
15262,416556
15270,13065
15284,92556
15306,6328
15314,9
15317,197117
15318,2793
15327,915
15328,109208
15336,126455
15354,8252
15362,10468
15408,49298
15416,13538
15419,236414
15425,487709
15425,274628
15425,76874
15426,10958
15426,9542
15426,131
15428,1871
15437,19442
15461,5018
15470,52413
15470,47522
15471,15694
15471,14008
15484,15569
15498,7117
15518,66257
15518,129664
15518,102710
15518,66959
15518,61396
15518,16733
15518,51572
15518,316025
15520,360615
15530,15012
15538,2793
15551,57735
15564,9206
15573,5069
15584,1143
15608,23450
15612,15608
15614,20266
15655,117015
15660,343
15672,974
15672,14478
15673,974
15698,193
15716,48111
15716,48129
15719,150210
15719,155459
15719,82880
15728,15764
15734,11
15749,4983
15782,8534
15795,15428
15795,14284
15795,1414
15836,1459
15861,8447
15875,3518
15885,7205
15926,205520
15963,228096
15988,8252
16001,1763
16015,75377
16038,18103
16038,46588
16043,8912
16086,6522
16104,6441
16144,5634
16167,16042
16172,15819
16178,444246
16178,6676
16184,33605
16192,16112
16211,170235
16211,4983
16230,21686
16230,14008
16230,34579
16244,247
16254,3929
16271,16192
16277,59551
16288,65387
16305,5282
16327,16168
16328,10092
16331,11406
16331,21305
16371,2093
16371,70188
16371,79651
16376,16371
16393,4983
16399,11088
16421,13892
16433,9542
16442,9540
16446,13255
16446,167
16473,11392
16501,288083
16551,6676
16551,9017
16584,138472
16590,14008
16599,16544
16600,5121
16604,16254
16610,9562
16642,4752
16642,247
16652,162037
16663,11916
16663,10410
16669,7809
16669,5929
16672,16366
16695,4983
16695,52022
16706,206407
16717,10455
16728,17723
16728,1528
16733,316025
16736,6784
16736,40775
16736,35478
16746,16753
16755,6236
16766,15353
16768,14008
16769,13790
16777,16584
16810,285434
16829,89593
16857,5121
16871,4868
16879,14629
16902,17260
16904,2280
16913,405735
16925,2271
16932,4983
16935,31875
16941,18832
16941,16398
16953,11015
16978,5121
16978,20119
16988,266429
16988,41478
16988,25596
17001,162391
17031,16652
17054,372526
17084,16825
17087,105189
17099,9865
17134,454177
17151,17216
17162,6784
17178,8112
